Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2010-Q3,73610704,578812063,,11330310,29848209,4909,11978014,38221149,151710493,37304,544460,17827,3497383,1174,889219,,,,152691,3107,139750,4535,255867,,744917,836595,182378,2123,,1673319,341088
2010-Q2,73230138,580956720,,11249243,27360789,5618,6701367,34446662,130088942,41213,705763,16840,4470030,1752,1705540,3045,,,85213,8826,87372,6717,264755,,744917,836595,182378,1213,,2037196,314214
2010-Q1,72723582,580331455,,9126484,19375753,4707,8385285,34752052,128312950,39097,405955,13106,3653767,1388,,,,,65597,1203,25125,3356,240550,,744917,836595,182378,1198,,401634,234965
2009,138305967,2314204253,,39234423,110027325,24665,29910413,125120355,431119278,145731,2221344,53773,4161479,3312,2677999,2015,,,213633,9304,504588,23411,1085717,11486,52243823,28360543,3916308,8534,,2764005,877945
2009-Q4,21118931,581663595,,4418494,22885193,6348,-2355719,20439609,111807419,37100,651444,15048,1455533,782,,,,,61345,2176,96072,4133,371114,11436,1905700,1168035,274371,2706,,641195,229383
2009-Q3,40430251,579561756,,10507912,25534301,5754,11983563,37696046,114232504,36341,389266,13184,661303,743,,,,,58908,1393,97803,5375,218276,,1905700,1168035,274371,2262,,363530,217673
2009-Q2,66859631,576767564,,11762676,35972781,6040,7968530,34595291,107380916,37027,857086,14528,1302770,915,1586432,2015,,,46651,2165,165246,9460,258650,25,1905700,1168035,274371,1464,,370973,217257
2009-Q1,38760824,576211340,,12545342,31355172,6523,10984407,32389409,97698439,35263,323548,11013,741873,872,1091567,,,,46729,3570,35464,4443,237677,25,1905700,1168035,274371,2102,,1388307,213632
2008,143619221,2267587614,,43115938,73530539,24823,48081900,132740834,238643019,128037,243104,31181,798279,1585,576898,,,,243627,14249,6908,12567,865911,13962,4439104,4173278,1087556,17925,,1022459,872819
2008-Q4,35904805,566896904,,12401518,19512279,11946,17751445,42093310,58651689,39146,100511,5301,443902,417,576898,,,,64151,7372,953,2395,218551,13962,1109776,1043320,271889,2717,,690814,219504
2008-Q3,35904805,566896904,,10990060,16421385,6626,9474022,31058684,59857168,28736,129714,5901,118537,159,,,,,43391,2336,896,3160,237871,,1109776,1043320,271889,2756,,129714,238767
2008-Q2,35904805,566896904,,9499282,17571812,3343,8395149,29108552,61416167,29819,124944,10615,173345,159,,,,,65023,1951,2284,4083,221492,,1109776,1043320,271889,3234,,124944,223776
2008-Q1,35904805,566896904,,10254149,20025063,2908,12461284,30480288,58717994,30336,76987,9364,62495,850,,,,,71062,2590,2775,2929,187997,,1109776,1043320,271889,9218,,76987,190772
